class,id,author,title,license,license_url,preview_url,local_file
"fire_alarm","210513","nigelcoop","Freesound - Fire Alarm.wav","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/210/210513_1088850-hq.mp3","models/sound-classifier/freesound-training-data/fire_alarm/210513_nigelcoop.mp3"
"fire_alarm","165542","wrdSound","Freesound - Firealarm (Feueralarm)","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/165/165542_3016589-hq.mp3","models/sound-classifier/freesound-training-data/fire_alarm/165542_wrdSound.mp3"
"fire_alarm","660302","sprietop","Freesound - Fire alarm.m4a","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/660/660302_5735230-hq.mp3","models/sound-classifier/freesound-training-data/fire_alarm/660302_sprietop.mp3"
"fire_alarm","369848","SpliceSound","Freesound - Smoke detector alarm, close perspective.wav","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/369/369848_1480854-hq.mp3","models/sound-classifier/freesound-training-data/fire_alarm/369848_SpliceSound.mp3"
"fire_alarm","319413","pushkin","Freesound - Fire alarm","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/319/319413_336074-hq.mp3","models/sound-classifier/freesound-training-data/fire_alarm/319413_pushkin.mp3"
"fire_alarm","736926","Robo9418","Freesound - System Sensor P2R Fire Alarm","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/736/736926_15176424-hq.mp3","models/sound-classifier/freesound-training-data/fire_alarm/736926_Robo9418.mp3"
"car_horn","480002","craigsmith","Freesound - R18-31-Old Car Ahooga Horn.wav","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/480/480002_2524442-hq.mp3","models/sound-classifier/freesound-training-data/car_horn/480002_craigsmith.mp3"
"car_horn","423990","AmishRob","Freesound - Car horn beep beep two beeps honk honk","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/423/423990_4023430-hq.mp3","models/sound-classifier/freesound-training-data/car_horn/423990_AmishRob.mp3"
"car_horn","388276","csnmedia","Freesound - La cucaracha car Horn.wav","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/388/388276_926978-hq.mp3","models/sound-classifier/freesound-training-data/car_horn/388276_csnmedia.mp3"
"car_horn","182474","keweldog","Freesound - car horn.wav","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/182/182474_3153523-hq.mp3","models/sound-classifier/freesound-training-data/car_horn/182474_keweldog.mp3"
"car_horn","349922","DeVern","Freesound - Car Horn Honk.wav","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/349/349922_2866779-hq.mp3","models/sound-classifier/freesound-training-data/car_horn/349922_DeVern.mp3"
"car_horn","435497","etcd_09","Freesound - Car Horn Honk","CC-BY-3.0","http://creativecommons.org/licenses/by/3.0/","https://cdn.freesound.org/previews/435/435497_4816720-hq.mp3","models/sound-classifier/freesound-training-data/car_horn/435497_etcd_09.mp3"
"glass_shatter","465946","AlterKartoffelsack","Freesound - Glass Breaking","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/465/465946_5855051-hq.mp3","models/sound-classifier/freesound-training-data/glass_shatter/465946_AlterKartoffelsack.mp3"
"glass_shatter","68463","iwilldstroyu","Freesound - generic glass break.wav","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/68/68463_601368-hq.mp3","models/sound-classifier/freesound-training-data/glass_shatter/68463_iwilldstroyu.mp3"
"glass_shatter","607910","IENBA","Freesound - Glass Bottle Breaking","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/607/607910_9616576-hq.mp3","models/sound-classifier/freesound-training-data/glass_shatter/607910_IENBA.mp3"
"glass_shatter","521340","zxaudiocraft","Freesound - ZXAudiocraft - Glass - Break 017.wav","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/521/521340_11532980-hq.mp3","models/sound-classifier/freesound-training-data/glass_shatter/521340_zxaudiocraft.mp3"
"glass_shatter","349905","bevibeldesign","Freesound - Slow Motion Glass Shatter","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/349/349905_4557960-hq.mp3","models/sound-classifier/freesound-training-data/glass_shatter/349905_bevibeldesign.mp3"
"glass_shatter","221528","unfa","Freesound - Glass Break","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/221/221528_1038806-hq.mp3","models/sound-classifier/freesound-training-data/glass_shatter/221528_unfa.mp3"
"knock","235644","Coonick","Freesound - Door Knock.mp3","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/235/235644_3874905-hq.mp3","models/sound-classifier/freesound-training-data/knock/235644_Coonick.mp3"
"knock","342550","Terry93D","Freesound - Door knock (Urgent)","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/342/342550_5622625-hq.mp3","models/sound-classifier/freesound-training-data/knock/342550_Terry93D.mp3"
"knock","342552","Terry93D","Freesound - Door knock (Hurried)","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/342/342552_5622625-hq.mp3","models/sound-classifier/freesound-training-data/knock/342552_Terry93D.mp3"
"knock","540770","SubwaySandwitch420","Freesound - door knock","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/540/540770_10953720-hq.mp3","models/sound-classifier/freesound-training-data/knock/540770_SubwaySandwitch420.mp3"
"knock","144510","FreqMan","Freesound - Door Knock - with urgency.wav","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/144/144510_92661-hq.mp3","models/sound-classifier/freesound-training-data/knock/144510_FreqMan.mp3"
"knock","728289","aoimotion","Freesound - Toc toc (knocking on wooden door)","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/728/728289_14191618-hq.mp3","models/sound-classifier/freesound-training-data/knock/728289_aoimotion.mp3"
"knock","442878","qubodup","Freesound - Door Knock","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/442/442878_71257-hq.mp3","models/sound-classifier/freesound-training-data/knock/442878_qubodup.mp3"
"siren","346149","liamwarren","Freesound - police siren.wav (audio-cutter.com) (1).mp3","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/346/346149_2837732-hq.mp3","models/sound-classifier/freesound-training-data/siren/346149_liamwarren.mp3"
"siren","331610","applauseav","Freesound - Acme Siren.wav","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/331/331610_2568199-hq.mp3","models/sound-classifier/freesound-training-data/siren/331610_applauseav.mp3"
"siren","395400","wolferCZ","Freesound - siren.wav","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/395/395400_7369344-hq.mp3","models/sound-classifier/freesound-training-data/siren/395400_wolferCZ.mp3"
"siren","434051","Bastianhallo","Freesound - Siren.wav","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/434/434051_8342190-hq.mp3","models/sound-classifier/freesound-training-data/siren/434051_Bastianhallo.mp3"
"siren","184623","LanDub","Freesound - Ambulance Siren","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/184/184623_3296721-hq.mp3","models/sound-classifier/freesound-training-data/siren/184623_LanDub.mp3"
"siren","405590","JohnLaVine333","Freesound - Siren ( Concrete Stairwell Direct ).wav","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/405/405590_450294-hq.mp3","models/sound-classifier/freesound-training-data/siren/405590_JohnLaVine333.mp3"
"siren","470504","onderwish","Freesound - Emergency Siren","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/470/470504_2694940-hq.mp3","models/sound-classifier/freesound-training-data/siren/470504_onderwish.mp3"
"fire_alarm","680073","jess90","Freesound - Smoke alarm.wav","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/680/680073_4627588-hq.mp3","models/sound-classifier/freesound-training-data/fire_alarm/680073_jess90.mp3"
"fire_alarm","563284","syntheffects","Freesound - House fire or burglar alarm with ending","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/563/563284_12265588-hq.mp3","models/sound-classifier/freesound-training-data/fire_alarm/563284_syntheffects.mp3"
"car_horn","212444","Julien%20Nicolas","Freesound - medical car horn EGYPT Alexandria","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/212/212444_1688566-hq.mp3","models/sound-classifier/freesound-training-data/car_horn/212444_Julien%20Nicolas.mp3"
"car_horn","210254","Soundscape_Leuphana","Freesound - 20131210_Car horn_ZoomH2nXY.wav","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/210/210254_3844637-hq.mp3","models/sound-classifier/freesound-training-data/car_horn/210254_Soundscape_Leuphana.mp3"
"glass_shatter","554565","Greg_Surr","Freesound - Glass Shatter 1.wav","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/554/554565_8198141-hq.mp3","models/sound-classifier/freesound-training-data/glass_shatter/554565_Greg_Surr.mp3"
"glass_shatter","554568","Greg_Surr","Freesound - Glass Shatter 7.wav","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/554/554568_8198141-hq.mp3","models/sound-classifier/freesound-training-data/glass_shatter/554568_Greg_Surr.mp3"
"glass_shatter","554564","Greg_Surr","Freesound - Glass Shatter 2.wav","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/554/554564_8198141-hq.mp3","models/sound-classifier/freesound-training-data/glass_shatter/554564_Greg_Surr.mp3"
"glass_shatter","784151","loganzsound","Freesound - Glass break hammer","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/784/784151_16682330-hq.mp3","models/sound-classifier/freesound-training-data/glass_shatter/784151_lgnzimmsound.mp3"
"glass_shatter","204777","ngruber","Freesound - Breaking Glass ","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/204/204777_2736862-hq.mp3","models/sound-classifier/freesound-training-data/glass_shatter/204777_ngruber.mp3"
"glass_shatter","203368","C_Rogers","Freesound - glass-shattering-hit_01.ogg","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/203/203368_3569783-hq.mp3","models/sound-classifier/freesound-training-data/glass_shatter/203368_C_Rogers.mp3"
"knock","193835","Ligidium","Freesound - Door Knock - 17.wav","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/193/193835_3276562-hq.mp3","models/sound-classifier/freesound-training-data/knock/193835_Ligidium.mp3"
"knock","193826","Ligidium","Freesound - Door Knock - 12.wav","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/193/193826_3276562-hq.mp3","models/sound-classifier/freesound-training-data/knock/193826_Ligidium.mp3"
"knock","233795","Dlam1991","Freesound - Light Knocking on door.wav","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/233/233795_4224732-hq.mp3","models/sound-classifier/freesound-training-data/knock/233795_Dlam1991.mp3"
"knock","174640","altfuture","Freesound - Door Knocking","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/174/174640_3015949-hq.mp3","models/sound-classifier/freesound-training-data/knock/174640_altfuture.mp3"
"knock","629986","Flem0527","Freesound - Knocking on Wood Door (2)","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/629/629986_12715066-hq.mp3","models/sound-classifier/freesound-training-data/knock/629986_Flem0527.mp3"
"knock","318614","jephwallace","Freesound - knocking at door.wav","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/318/318614_1198112-hq.mp3","models/sound-classifier/freesound-training-data/knock/318614_jephwallace.mp3"
"knock","458007","Fabrizio84","Freesound - Knocking on Door","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/458/458007_2841496-hq.mp3","models/sound-classifier/freesound-training-data/knock/458007_Fabrizio84.mp3"
"knock","567607","oldhiccup","Freesound - Knocking on the door","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/567/567607_12435826-hq.mp3","models/sound-classifier/freesound-training-data/knock/567607_oldhiccup.mp3"
"siren","569260","Nakhas","Freesound - Police Siren (Synth, cartoonish)","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/569/569260_717697-hq.mp3","models/sound-classifier/freesound-training-data/siren/569260_Nakhas.mp3"
"siren","819894","chungus43A","Freesound - European Police siren 1","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/819/819894_12024110-hq.mp3","models/sound-classifier/freesound-training-data/siren/819894_chungus43A.mp3"
"siren","819893","chungus43A","Freesound - European Police siren 2","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/819/819893_12024110-hq.mp3","models/sound-classifier/freesound-training-data/siren/819893_chungus43A.mp3"
"siren","156869","MultiMax2121","Freesound - Police siren.mp3","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/156/156869_2538033-hq.mp3","models/sound-classifier/freesound-training-data/siren/156869_MultiMax2121.mp3"
"siren","682859","Selector","Freesound - old soviet police sirens","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/682/682859_270868-hq.mp3","models/sound-classifier/freesound-training-data/siren/682859_Selector.mp3"
"siren","58375","THE_bizniss","Freesound - sim police siren.wav","CC-BY-3.0","http://creativecommons.org/licenses/by/3.0/","https://cdn.freesound.org/previews/58/58375_382028-hq.mp3","models/sound-classifier/freesound-training-data/siren/58375_THE_bizniss.mp3"
"siren","220424","Nahlin83","Freesound - Siren","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/220/220424_4104435-hq.mp3","models/sound-classifier/freesound-training-data/siren/220424_Nahlin83.mp3"
"siren","445344","stereobrother","Freesound - Ambulance siren","CC0","http://creativecommons.org/publicdomain/zero/1.0/","https://cdn.freesound.org/previews/445/445344_1601280-hq.mp3","models/sound-classifier/freesound-training-data/siren/445344_stereobrother.mp3"
